[1, 1.000],
[2, 0.899],
[3, 0.920],
[4, 0.179],
[5, 0.920],
[6, 0.846],
[7, 0.859],
[8, 0.314],
[9, 0.860],
[10, 0.805],
[11, 0.816],
[12, 0.415],
[13, 0.816],
[14, 0.777],
[15, 0.784],
[16, 0.485],
[17, 0.786],
[18, 0.755],
[19, 0.762],
[20, 0.539],
[21, 0.759],
[22, 0.737],
[23, 0.743],
[24, 0.577],
[25, 0.744],
[26, 0.727],
[27, 0.731],
[28, 0.609],
[29, 0.730],
[30, 0.718],
[31, 0.721],
[32, 0.632],
[33, 0.721],
[34, 0.712],
[35, 0.711],
[36, 0.647],
[37, 0.712],
[38, 0.705],
[39, 0.709],
[40, 0.660],
[41, 0.709],
[42, 0.702],
[43, 0.701],
[44, 0.667],
[45, 0.701],
[46, 0.702],
[47, 0.702],
[48, 0.677],
[49, 0.701],
[50, 0.699],
[51, 0.699],
[52, 0.679],
[53, 0.700],
[54, 0.696],
[55, 0.698],
[56, 0.681],
[57, 0.696],
[58, 0.694],
[59, 0.693],
[60, 0.686],
[61, 0.693],
[62, 0.695],
[63, 0.696],
[64, 0.688],
[65, 0.694],
[66, 0.694],
[67, 0.692],
[68, 0.687],
[69, 0.692],
[70, 0.692],
[71, 0.697],
[72, 0.689],
[73, 0.696],
[74, 0.695],
[75, 0.695],
[76, 0.689],
[77, 0.694],
[78, 0.692],
[79, 0.692],
[80, 0.692],
[81, 0.693],
[82, 0.693],
[83, 0.694],
[84, 0.691],
[85, 0.693],
[86, 0.691],
[87, 0.694],
[88, 0.694],
[89, 0.697],
[90, 0.691],
[91, 0.694],
[92, 0.694],
[93, 0.693],
[94, 0.695],
[95, 0.692],
[96, 0.693],
[97, 0.690],
[98, 0.692],
[99, 0.696],
[100, 0.693],
[101, 0.693],
[102, 0.695],
[103, 0.694],
[104, 0.691],
[105, 0.692],
[106, 0.692],
[107, 0.692],
[108, 0.692],
[109, 0.696],
[110, 0.694],
[111, 0.691],
[112, 0.692],
[113, 0.690],
[114, 0.691],
[115, 0.692],
[116, 0.691],
[117, 0.694],
[118, 0.693],
[119, 0.691],
[120, 0.689],
[121, 0.691],
[122, 0.691],
[123, 0.693],
[124, 0.692],
[125, 0.694],
[126, 0.694],
[127, 0.691],
[128, 0.692],
[129, 0.691],
[130, 0.693],
[131, 0.690],
[132, 0.692],
[133, 0.689],
[134, 0.694],
[135, 0.692],
[136, 0.691],
[137, 0.695],
[138, 0.691],
[139, 0.693],
[140, 0.691],
[141, 0.692],
[142, 0.693],
[143, 0.692],
[144, 0.693],
[145, 0.690],
[146, 0.692],
[147, 0.693],
[148, 0.691],
[149, 0.692],
[150, 0.692],
[151, 0.694],
[152, 0.692],
[153, 0.693],
[154, 0.693],
[155, 0.692],
[156, 0.693],
[157, 0.693],
[158, 0.695],
[159, 0.691],
[160, 0.692],
[161, 0.690],
[162, 0.691],
[163, 0.690],
[164, 0.693],
[165, 0.694],
[166, 0.695],
[167, 0.692],
[168, 0.693],
[169, 0.694],
[170, 0.692],
[171, 0.693],
[172, 0.692],
[173, 0.692],
[174, 0.694],
[175, 0.692],
[176, 0.689],
[177, 0.693],
[178, 0.693],
[179, 0.694],
[180, 0.693],
[181, 0.691],
[182, 0.694],
[183, 0.691],
[184, 0.691],
[185, 0.691],
[186, 0.692],
[187, 0.692],
[188, 0.692],
[189, 0.693],
[190, 0.693],
[191, 0.694],
[192, 0.693],
[193, 0.692],
[194, 0.693],
[195, 0.693],
[196, 0.694],
[197, 0.691],
[198, 0.694],
[199, 0.695],
[200, 0.690],
[201, 0.691],
[202, 0.693],
[203, 0.692],
[204, 0.692],
[205, 0.692],
[206, 0.695],
[207, 0.691],
[208, 0.692],
[209, 0.694],
[210, 0.695],
[211, 0.691],
[212, 0.693],
[213, 0.691],
[214, 0.691],
[215, 0.696],
[216, 0.692],
[217, 0.692],
[218, 0.691],
[219, 0.692],
[220, 0.693],
[221, 0.693],
[222, 0.694],
[223, 0.693],
[224, 0.695],
[225, 0.695],
[226, 0.691],
[227, 0.694],
[228, 0.693],
[229, 0.693],
[230, 0.693],
[231, 0.691],
[232, 0.689],
[233, 0.693],
[234, 0.691],
[235, 0.693],
[236, 0.692],
[237, 0.696],
[238, 0.691],
[239, 0.691],
[240, 0.695],
[241, 0.692],
[242, 0.691],
[243, 0.692],
[244, 0.693],
[245, 0.692],
[246, 0.694],
[247, 0.691],
[248, 0.691],
[249, 0.693],
[250, 0.692],
[251, 0.694],
[252, 0.690],
[253, 0.694],
[254, 0.693],
[255, 0.691],
[256, 0.688],
[257, 0.695],
[258, 0.692],
[259, 0.693],
[260, 0.695],
[261, 0.693],
[262, 0.692],
[263, 0.692],
[264, 0.695],
[265, 0.693],
[266, 0.693],
[267, 0.694],
[268, 0.691],
[269, 0.693],
[270, 0.690],
[271, 0.690],
[272, 0.695],
[273, 0.694],
[274, 0.692],
[275, 0.694],
[276, 0.691],
[277, 0.694],
[278, 0.692],
[279, 0.692],
[280, 0.694],
[281, 0.691],
[282, 0.696],
[283, 0.694],
[284, 0.693],
[285, 0.694],
[286, 0.689],
[287, 0.692],
[288, 0.691],
